frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,100.000000,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,-1966.679932,4507.909668,400.000000,3998.979980,949.750000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,-1933.359985,4515.819824,400.000000,3997.959961,949.500000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,-1900.049927,4523.729980,400.000000,3996.939941,949.250000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,-1866.750000,4531.640137,400.000000,3995.919922,949.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,-1833.459961,4539.549805,400.000000,3994.899902,948.750000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,-1800.179932,4547.449707,400.000000,3993.879883,948.500000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,-1766.909912,4555.350098,400.000000,3992.859863,948.250000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,-1733.640015,4563.250000,400.000000,3991.839844,948.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,-1700.380005,4571.149902,400.000000,3990.819824,947.750000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,-1667.130005,4579.049805,400.000000,3989.799805,947.500000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,-1633.890015,4586.939941,400.000000,3988.780029,947.250000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,-1600.659912,4594.830078,400.000000,3987.760010,947.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,-1567.439941,4602.719727,400.000000,3986.739990,946.750000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,-1534.229980,4610.609863,400.000000,3985.719971,946.500000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,-1501.020020,4618.500000,400.000000,3984.699951,946.250000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,-1467.819946,4626.379883,400.000000,3983.679932,946.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,-1434.630005,4634.259766,400.000000,3982.659912,945.750000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,-1401.449951,4642.140137,400.000000,3981.639893,945.500000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
19,-1368.280029,4650.020020,400.000000,3980.619873,945.259949,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
20,-1335.119995,4657.899902,400.000000,3979.599854,945.019958,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
21,-1301.969971,4665.770020,400.000000,3978.579834,944.779968,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
22,-1268.819946,4673.640137,400.000000,3977.569824,944.539978,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
23,-1235.679932,4681.509766,400.000000,3976.559814,944.299988,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
24,-1202.549927,4689.379883,400.000000,3975.549805,944.059998,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
25,-1169.429932,4697.250000,400.000000,3974.539795,943.820007,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
26,-1136.319946,4705.109863,400.000000,3973.530029,943.579956,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
27,-1103.219971,4712.969727,400.000000,3972.520020,943.339966,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
28,-1070.119995,4720.830078,400.000000,3971.510010,943.099976,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
