frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,0.000000,0.000000,1899.949951,0.000000,0.000000,-5.410000,0.000003,0.025002,0.000003,0.999687,0.000000,6.000000,0.000000
2,0.000000,0.000000,1899.859985,0.000000,0.000000,-10.820000,0.000003,0.049986,0.000003,0.998750,0.000000,6.000000,0.000000
3,0.000000,0.000000,1899.719971,0.000000,0.000000,-16.230000,0.000003,0.074937,0.000003,0.997188,0.000000,6.000000,0.000000
4,0.000000,0.000000,1899.539917,0.000000,0.000000,-21.639999,0.000003,0.099839,0.000003,0.995004,0.000000,6.000000,0.000000
5,0.000000,0.000000,1899.309937,0.000000,0.000000,-27.049999,0.000003,0.124682,0.000003,0.992197,0.000000,6.000000,0.000000
6,0.000000,0.000000,1899.039917,0.000000,0.000000,-32.450001,0.000003,0.149445,0.000003,0.988770,0.000000,6.000000,0.000000
7,0.000000,0.000000,1898.719971,0.000000,0.000000,-37.849998,0.000003,0.174115,0.000003,0.984725,0.000000,6.000000,0.000000
8,0.000000,0.000000,1898.359985,0.000000,0.000000,-43.250000,0.000003,0.198678,0.000003,0.980065,0.000000,6.000000,0.000000
9,0.000000,0.000000,1897.949951,0.000000,0.000000,-48.649998,0.000003,0.223116,0.000003,0.974792,0.000000,6.000000,0.000000
10,0.000000,0.000000,1897.500000,0.000000,0.000000,-54.049999,0.000003,0.247414,0.000003,0.968910,0.000000,6.000000,0.000000
11,0.000000,0.000000,1897.000000,0.000000,0.000000,-59.449997,0.000003,0.271556,0.000003,0.962423,0.000000,6.000000,0.000000
12,0.000000,0.000000,1896.459961,0.000000,0.000000,-64.849998,0.000003,0.295531,0.000003,0.955333,0.000000,6.000000,0.000000
13,0.000000,0.000000,1895.869995,0.000000,0.000000,-70.250000,0.000003,0.319322,0.000003,0.947646,0.000000,6.000000,0.000000
14,0.000000,0.000000,1895.239990,0.000000,0.000000,-75.639999,0.000003,0.342913,0.000003,0.939367,0.000000,6.000000,0.000000
15,0.000000,0.000000,1894.559937,0.000000,0.000000,-81.029999,0.000003,0.366289,0.000003,0.930501,0.000000,6.000000,0.000000
16,0.000000,0.000000,1893.839966,0.000000,0.000000,-86.419998,0.000003,0.389433,0.000003,0.921055,0.000000,6.000000,0.000000
17,0.000000,0.000000,1893.069946,0.000000,0.000000,-91.809998,0.000003,0.412334,0.000003,0.911033,0.000000,6.000000,0.000000
18,0.000000,0.000000,1892.260010,0.000000,0.000000,-97.199997,0.000003,0.434976,0.000003,0.900442,0.000000,6.000000,0.000000
19,0.000000,0.000000,1891.409912,0.000000,0.000000,-102.589996,0.000003,0.457348,0.000003,0.889288,0.000000,6.000000,0.000000
20,0.000000,0.000000,1890.510010,0.000000,0.000000,-107.979996,0.000003,0.479435,0.000003,0.877578,0.000000,6.000000,0.000000
21,0.000000,0.000000,1889.569946,0.000000,0.000000,-113.360001,0.000003,0.501224,0.000003,0.865317,0.000000,6.000000,0.000000
22,0.000000,0.000000,1888.579956,0.000000,0.000000,-118.739998,0.000003,0.522696,0.000003,0.852519,0.000000,6.000000,0.000000
23,0.000000,0.000000,1887.549927,0.000000,0.000000,-124.119995,0.000003,0.543843,0.000003,0.839187,0.000000,6.000000,0.000000
