frame,input.bJump,input.bJumped,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.340000,0.000000,18.330000,0.000000,0.000000,8.400000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000300,0.000000
1,True,True,0.380000,0.000000,20.859999,-1.370000,0.000000,304.049988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000200,0.000000
2,False,False,0.370000,0.000000,23.430000,0.310000,0.000000,308.070007,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
3,False,False,0.370000,0.000000,26.029999,-0.130000,0.000000,312.089996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
4,False,False,0.370000,0.000000,28.559999,0.030000,0.000000,303.959991,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
5,False,False,0.370000,0.000000,31.029999,0.000000,0.000000,295.829987,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
6,False,False,0.370000,0.000000,33.430000,0.000000,0.000000,287.699982,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
7,False,False,0.370000,0.000000,35.779999,0.000000,0.000000,282.279999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
8,False,False,0.370000,0.000000,38.090000,0.000000,0.000000,276.859985,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
9,False,False,0.370000,0.000000,40.349998,0.000000,0.000000,271.440002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
10,False,False,0.370000,0.000000,42.570000,0.000000,0.000000,266.019989,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
11,False,False,0.370000,0.000000,44.739998,0.000000,0.000000,260.600006,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
12,False,False,0.370000,0.000000,46.869999,0.000000,0.000000,255.179993,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
13,False,False,0.370000,0.000000,48.950001,0.000000,0.000000,249.759995,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
14,False,False,0.370000,0.000000,50.989998,0.000000,0.000000,244.339996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
15,False,False,0.370000,0.000000,52.980000,0.000000,0.000000,238.919998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
16,False,False,0.370000,0.000000,54.930000,0.000000,0.000000,233.500000,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
17,False,False,0.370000,0.000000,56.829998,0.000000,0.000000,228.080002,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
18,False,False,0.370000,0.000000,58.689999,0.000000,0.000000,222.659988,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
19,False,False,0.370000,0.000000,60.500000,0.000000,0.000000,217.239990,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
20,False,False,0.370000,0.000000,62.270000,0.000000,0.000000,211.819992,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
21,False,False,0.370000,0.000000,63.989998,0.000000,0.000000,206.399994,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
22,False,False,0.370000,0.000000,65.659996,0.000000,0.000000,200.979996,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
23,False,False,0.370000,0.000000,67.290001,0.000000,0.000000,195.559998,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
24,False,False,0.370000,0.000000,68.869995,0.000000,0.000000,190.139999,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
25,False,False,0.370000,0.000000,70.409996,0.000000,0.000000,184.720001,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
26,False,False,0.370000,0.000000,71.900002,0.000000,0.000000,179.300003,0.000003,0.008548,0.000003,0.999963,0.000000,0.000000,0.000000
