frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,0.000000,-2983.339844,99.949997,0.000000,1999.489990,-5.410000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,0.000000,-2966.679932,99.860001,0.000000,1998.979980,-10.820000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,0.000000,-2950.030029,99.720001,0.000000,1998.469971,-16.230000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,0.000000,-2933.379883,99.540001,0.000000,1997.959961,-21.639999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,0.000000,-2916.729980,99.309998,0.000000,1997.449951,-27.049999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,0.000000,-2900.089844,99.040001,0.000000,1996.939941,-32.450001,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,0.000000,-2883.449951,98.720001,0.000000,1996.429932,-37.849998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,0.000000,-2866.819824,98.360001,0.000000,1995.919922,-43.250000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,0.000000,-2850.189941,97.949997,0.000000,1995.409912,-48.649998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,0.000000,-2833.569824,97.500000,0.000000,1994.899902,-54.049999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,0.000000,-2816.949951,97.000000,0.000000,1994.390015,-59.449997,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,0.000000,-2800.329834,96.459999,0.000000,1993.880005,-64.849998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,0.000000,-2783.719971,95.869995,0.000000,1993.369995,-70.250000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,0.000000,-2767.109863,95.239998,0.000000,1992.859985,-75.639999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,0.000000,-2750.510010,94.559998,0.000000,1992.349976,-81.029999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,0.000000,-2733.909912,93.839996,0.000000,1991.839966,-86.419998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,0.000000,-2717.319824,93.070000,0.000000,1991.329956,-91.809998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,0.000000,-2701.169922,93.529999,0.000000,1937.519897,55.070000,-0.006083,0.000003,0.000003,0.999981,-1.460100,0.000000,0.000000
19,0.000000,-2685.030029,93.939995,0.000000,1937.019897,49.629997,-0.012168,0.000003,0.000003,0.999926,-1.460000,0.000000,0.000000
20,0.000000,-2668.889893,94.309998,0.000000,1936.519897,44.200001,-0.018248,0.000003,0.000003,0.999833,-1.459900,0.000000,0.000000
21,0.000000,-2652.760010,94.629997,0.000000,1936.019897,38.770000,-0.024328,0.000003,0.000003,0.999704,-1.459900,0.000000,0.000000
22,0.000000,-2636.629883,94.909996,0.000000,1935.519897,33.340000,-0.030408,0.000003,0.000003,0.999538,-1.459900,0.000000,0.000000
23,0.000000,-2620.500000,95.139999,0.000000,1935.019897,27.910000,-0.036488,0.000003,0.000003,0.999334,-1.459900,0.000000,0.000000
24,0.000000,-2604.379883,95.329994,0.000000,1934.519897,22.480000,-0.042568,0.000003,0.000003,0.999094,-1.459900,0.000000,0.000000
25,0.000000,-2588.260010,95.470001,0.000000,1934.019897,17.049999,-0.048642,0.000003,0.000003,0.998816,-1.459900,0.000000,0.000000
26,0.000000,-2572.149902,95.570000,0.000000,1933.519897,11.620000,-0.054717,0.000003,0.000003,0.998502,-1.459900,0.000000,0.000000
27,0.000000,-2556.040039,95.619995,0.000000,1933.019897,6.200000,-0.060791,0.000003,0.000003,0.998150,-1.459900,0.000000,0.000000
28,0.000000,-2539.939941,95.629997,0.000000,1932.519897,0.780000,-0.066861,0.000003,0.000003,0.997762,-1.459900,0.000000,0.000000
29,0.000000,-2523.839844,95.589996,0.000000,1932.019897,-4.630000,-0.072930,0.000003,0.000003,0.997337,-1.459900,0.000000,0.000000
30,0.000000,-2507.739990,95.509995,0.000000,1931.519897,-10.040000,-0.078994,0.000003,0.000003,0.996875,-1.459900,0.000000,0.000000
31,0.000000,-2491.649902,95.379997,0.000000,1931.019897,-15.450000,-0.085057,0.000003,0.000003,0.996376,-1.459900,0.000000,0.000000
32,0.000000,-2475.560059,95.209999,0.000000,1930.519897,-20.859999,-0.091116,0.000003,0.000003,0.995840,-1.459900,0.000000,0.000000
33,0.000000,-2459.479980,94.989998,0.000000,1930.019897,-26.269999,-0.097174,0.000003,0.000003,0.995267,-1.459900,0.000000,0.000000
34,0.000000,-2443.399902,94.729996,0.000000,1929.519897,-31.679998,-0.103227,0.000003,0.000003,0.994658,-1.459900,0.000000,0.000000
35,0.000000,-2427.319824,94.419998,0.000000,1929.029907,-37.079998,-0.109275,0.000003,0.000003,0.994012,-1.459900,0.000000,0.000000
36,0.000000,-2411.250000,94.070000,0.000000,1928.539917,-42.480000,-0.115317,0.000003,0.000003,0.993329,-1.459900,0.000000,0.000000
37,0.000000,-2395.179932,93.669998,0.000000,1928.049927,-47.879997,-0.121359,0.000003,0.000003,0.992609,-1.459900,0.000000,0.000000
38,0.000000,-2379.119873,93.229996,0.000000,1927.559937,-53.279999,-0.127396,0.000003,0.000003,0.991852,-1.459900,0.000000,0.000000
