frame,ball.Location.X,ball.Location.Y,ball.Location.Z,ball.LinearVelocity.X,ball.LinearVelocity.Y,ball.LinearVelocity.Z,ball.Quaternion.X,ball.Quaternion.Y,ball.Quaternion.Z,ball.Quaternion.W,ball.AngularVelocity.X,ball.AngularVelocity.Y,ball.AngularVelocity.Z
0,0.000000,0.000000,93.150002,0.000000,0.000000,0.000000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
1,-20.830000,0.000000,99.949997,-2499.359863,0.000000,-5.410000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
2,-41.649998,0.000000,99.860001,-2498.719971,0.000000,-10.820000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
3,-62.469997,0.000000,99.720001,-2498.079834,0.000000,-16.230000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
4,-83.279999,0.000000,99.540001,-2497.439941,0.000000,-21.639999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
5,-104.089996,0.000000,99.309998,-2496.800049,0.000000,-27.049999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
6,-124.889999,0.000000,99.040001,-2496.159912,0.000000,-32.450001,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
7,-145.690002,0.000000,98.720001,-2495.520020,0.000000,-37.849998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
8,-166.479996,0.000000,98.360001,-2494.879883,0.000000,-43.250000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
9,-187.269989,0.000000,97.949997,-2494.239990,0.000000,-48.649998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
10,-208.049988,0.000000,97.500000,-2493.599854,0.000000,-54.049999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
11,-228.819992,0.000000,97.000000,-2492.959961,0.000000,-59.449997,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
12,-249.589996,0.000000,96.459999,-2492.319824,0.000000,-64.849998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
13,-270.350006,0.000000,95.869995,-2491.679932,0.000000,-70.250000,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
14,-291.109985,0.000000,95.239998,-2491.040039,0.000000,-75.639999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
15,-311.859985,0.000000,94.559998,-2490.399902,0.000000,-81.029999,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
16,-332.609985,0.000000,93.839996,-2489.760010,0.000000,-86.419998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
17,-353.350006,0.000000,93.070000,-2489.119873,0.000000,-91.809998,0.000003,0.000003,0.000003,1.000000,0.000000,0.000000,0.000000
18,-373.639984,0.000000,93.529999,-2435.189941,0.000000,55.070000,0.000003,-0.006083,0.000003,0.999981,0.000000,-1.460100,0.000000
