frame,input.bActivateBoost,input.bHoldingBoost,input.Steer,input.Throttle,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
0,False,False,0.000000,0.000000,0.340000,0.000000,18.330000,0.000000,0.000000,8.400000,0.000003,0.008548,0.000003,0.999963,0.000000,-0.000300,0.000000
1,True,True,-1.000000,1.000000,0.410000,0.000000,18.330000,20.430000,-3.650000,8.309999,0.000003,0.008548,0.000003,0.999963,-0.001500,-0.000900,-0.090400
2,True,True,-1.000000,1.000000,0.650000,-0.030000,18.330000,40.639999,-7.340000,8.250000,-0.000003,0.008543,-0.000375,0.999963,-0.002300,-0.001300,-0.182100
3,True,True,-1.000000,1.000000,1.060000,-0.090000,18.330000,60.609997,-11.120000,8.210000,-0.000008,0.008537,-0.001136,0.999963,-0.002800,-0.001500,-0.276000
4,True,True,-1.000000,1.000000,1.630000,-0.180000,18.330000,80.360001,-14.980000,8.190000,-0.000008,0.008532,-0.002285,0.999961,-0.003000,-0.001600,-0.371100
5,True,True,-1.000000,1.000000,2.370000,-0.310000,18.330000,99.909996,-18.920000,8.170000,-0.000008,0.008527,-0.003833,0.999956,-0.003000,-0.001600,-0.466500
6,True,True,-1.000000,1.000000,3.270000,-0.470000,18.330000,119.259995,-22.949999,8.160000,-0.000003,0.008521,-0.005775,0.999947,-0.002900,-0.001600,-0.561600
7,True,True,-1.000000,1.000000,4.330000,-0.660000,18.330000,138.429993,-27.070000,8.150000,0.000003,0.008516,-0.008117,0.999931,-0.002700,-0.001600,-0.655800
8,True,True,-1.000000,1.000000,5.550000,-0.890000,18.330000,157.419998,-31.299999,8.150000,0.000013,0.008510,-0.010846,0.999905,-0.002400,-0.001500,-0.748500
9,True,True,-1.000000,1.000000,6.930000,-1.150000,18.330000,176.239990,-35.660000,8.150000,0.000030,0.008505,-0.013964,0.999866,-0.002000,-0.001400,-0.839300
10,True,True,-1.000000,1.000000,8.470000,-1.450000,18.330000,194.879990,-40.169998,8.150000,0.000051,0.008500,-0.017460,0.999811,-0.001600,-0.001300,-0.927800
11,True,True,-1.000000,1.000000,10.160000,-1.790000,18.330000,213.339996,-44.849998,8.150000,0.000078,0.008494,-0.021323,0.999736,-0.001200,-0.001200,-1.013700
12,True,True,-1.000000,1.000000,12.009999,-2.170000,18.330000,231.619995,-49.739998,8.150000,0.000111,0.008489,-0.025547,0.999638,-0.000900,-0.001100,-1.096800
13,True,True,-1.000000,1.000000,14.009999,-2.590000,18.330000,249.709991,-54.860001,8.150000,0.000148,0.008483,-0.030117,0.999510,-0.000600,-0.001000,-1.177000
14,True,True,-1.000000,1.000000,16.160000,-3.050000,18.330000,267.600006,-60.230000,8.150000,0.000186,0.008478,-0.035020,0.999351,-0.000300,-0.000900,-1.254000
15,True,True,-1.000000,1.000000,18.459999,-3.560000,18.330000,285.290009,-65.879997,8.150000,0.000229,0.008473,-0.040243,0.999154,0.000000,-0.000800,-1.327700
16,True,True,-1.000000,1.000000,20.910000,-4.110000,18.330000,302.759979,-71.839996,8.150000,0.000278,0.008467,-0.045767,0.998916,0.000100,-0.000600,-1.398000
17,True,True,-1.000000,1.000000,23.500000,-4.710000,18.330000,320.009979,-78.110001,8.150000,0.000326,0.008462,-0.051583,0.998633,0.000200,-0.000500,-1.465100
18,True,True,-1.000000,1.000000,26.240000,-5.370000,18.330000,337.019989,-84.729996,8.150000,0.000380,0.008456,-0.057679,0.998299,0.000300,-0.000400,-1.528800
19,True,True,-1.000000,1.000000,29.119999,-6.080000,18.330000,353.779999,-91.720001,8.150000,0.000434,0.008451,-0.064039,0.997911,0.000400,-0.000300,-1.589100
20,True,True,-1.000000,1.000000,32.139999,-6.850000,18.330000,370.269989,-99.099998,8.150000,0.000494,0.008446,-0.070642,0.997466,0.000600,-0.000200,-1.646000
